Model,RMSE
LinReg,0.012531596607341555
RF,0.11972172837636444
SVR_RBF,0.29796925059435037
SVR_Lin,0.09815086587613794
SVR_Poly,0.21263899167209885
ARIMA,393.5057103520914
LSTM,0.024994194485737465
