Model,RMSE,MAE,R2
LinearReg,0.012531596607341555,0.00949923601488535,0.9704186291008897
RandomForest,0.11912542197035453,0.0991838142862729,-1.6730949649584521
SVR,0.1745486181334997,0.13110277767404707,-4.739027604729078
ARIMA,0.10544554681900427,0.08768444502666449,-1.0944112908261845
LSTM,0.031983160796572346,0.027733584379279343,0.8073148493694347
